ts,series_id,value
2025-05-05T00:00:00+05:30,demand_mw,4452.59
2025-05-05T00:15:00+05:30,demand_mw,4400.87
2025-05-05T00:30:00+05:30,demand_mw,4340.33
2025-05-05T00:45:00+05:30,demand_mw,4243.13
2025-05-05T01:00:00+05:30,demand_mw,4162.96
2025-05-05T01:15:00+05:30,demand_mw,4106.41
2025-05-05T01:30:00+05:30,demand_mw,4048.74
2025-05-05T01:45:00+05:30,demand_mw,3982.0
2025-05-05T02:00:00+05:30,demand_mw,3928.51
2025-05-05T02:15:00+05:30,demand_mw,3874.05
2025-05-05T02:30:00+05:30,demand_mw,3812.71
2025-05-05T02:45:00+05:30,demand_mw,3758.14
2025-05-05T03:00:00+05:30,demand_mw,3697.48
2025-05-05T03:15:00+05:30,demand_mw,3618.25
2025-05-05T03:30:00+05:30,demand_mw,3569.62
2025-05-05T03:45:00+05:30,demand_mw,3512.28
2025-05-05T04:00:00+05:30,demand_mw,3425.49
2025-05-05T04:15:00+05:30,demand_mw,3395.01
2025-05-05T04:30:00+05:30,demand_mw,3378.09
2025-05-05T04:45:00+05:30,demand_mw,3332.21
2025-05-05T05:00:00+05:30,demand_mw,3322.42
2025-05-05T05:15:00+05:30,demand_mw,3325.47
2025-05-05T05:30:00+05:30,demand_mw,3364.22
2025-05-05T05:45:00+05:30,demand_mw,3397.38
2025-05-05T06:00:00+05:30,demand_mw,3446.75
2025-05-05T06:15:00+05:30,demand_mw,3473.52
2025-05-05T06:30:00+05:30,demand_mw,3485.76
2025-05-05T06:45:00+05:30,demand_mw,3512.24
2025-05-05T07:00:00+05:30,demand_mw,3508.01
2025-05-05T07:15:00+05:30,demand_mw,3493.91
2025-05-05T07:30:00+05:30,demand_mw,3459.3
2025-05-05T07:45:00+05:30,demand_mw,3442.21
2025-05-05T08:00:00+05:30,demand_mw,3455.92
2025-05-05T08:15:00+05:30,demand_mw,3477.99
2025-05-05T08:30:00+05:30,demand_mw,3484.83
2025-05-05T08:45:00+05:30,demand_mw,3497.05
2025-05-05T09:00:00+05:30,demand_mw,3540.93
2025-05-05T09:15:00+05:30,demand_mw,3599.53
2025-05-05T09:30:00+05:30,demand_mw,3618.64
