ts,value,lag_1d,lag_2d,lag_7d,block_sin,block_cos,dow,is_weekend,is_holiday,month_sin,month_cos,temperature_2m,precipitation,cloud_cover
2026-06-17 07:45:00,2873.96,2997.44,3188.5,2969.35,0.8660254037844387,-0.4999999999999998,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 08:00:00,2872.06,2958.74,3113.9,3019.68,0.8314696123025451,-0.5555702330196023,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 08:15:00,2854.29,3019.21,3124.11,2972.02,0.7933533402912352,-0.6087614290087207,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 08:30:00,2863.83,3006.08,3087.99,2977.77,0.7518398074789774,-0.6593458151000688,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 08:45:00,2836.81,3009.19,3110.33,2967.2,0.7071067811865476,-0.7071067811865475,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 09:00:00,2894.37,2958.34,3141.09,2960.95,0.659345815100069,-0.7518398074789773,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 09:15:00,2950.11,3047.77,3239.92,3069.22,0.6087614290087209,-0.793353340291235,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 09:30:00,2947.01,3051.59,3268.57,3104.69,0.5555702330196025,-0.831469612302545,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 09:45:00,2996.69,3101.0,3298.2,3130.25,0.49999999999999994,-0.8660254037844387,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 10:00:00,2991.2,3089.18,3314.23,3090.82,0.4422886902190017,-0.8968727415326881,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 10:15:00,2984.64,3090.79,3273.22,3071.16,0.3826834323650899,-0.9238795325112867,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 10:30:00,2969.68,3156.49,3282.26,3095.5,0.32143946530316175,-0.9469301294951056,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2026-06-17 10:45:00,3031.45,3152.29,3248.17,3122.78,0.258819045102521,-0.9659258262890682,2,0,0,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
